Filename	Token	Locuteur	Consonne	Voyelle	presence_middleV
F1_akapa.wav	akapa	F1	k	a	T
F1_akpa.wav	akpa	F1	k	a	F
F1_axapa.wav	axapa	F1	x	a	T
F1_axpa.wav	axpa	F1	x	a	F
F1_ekepe.wav	ekepe	F1	k	e	T
F1_ekpe.wav	ekpe	F1	k	e	F
F1_exepe.wav	exepe	F1	x	e	T
F1_expe.wav	expe	F1	x	e	F
F1_ikipi.wav	ikipi	F1	k	i	T
F1_ikpi.wav	ikpi	F1	k	i	F
F1_ixipi.wav	ixipi	F1	x	i	T
F1_ixpi.wav	ixpi	F1	x	i	F
F1_okopo.wav	okopo	F1	k	o	T
F1_okpo.wav	okpo	F1	k	o	F
F1_oxopo.wav	oxopo	F1	x	o	T
F1_oxpo.wav	oxpo	F1	x	o	F
F1_ukpu.wav	ukpu	F1	k	u	F
F1_ukupu.wav	ukupu	F1	k	u	T
F1_uxpu.wav	uxpu	F1	x	u	F
F1_uxupu.wav	uxupu	F1	x	u	T
